"","return_year","age_class","CRITFC_prop_at_age","CRITFC_method","ONA_prop_at_age","ONA_method"
"235",2005,"prop_age_4.1",NA,"SPA - Mixed Stock Adjusted?",NA,NA
"236",2006,"prop_age_1.1","0.007","PIT/SPA",0.00238095238095238,"Deadpitch"
"237",2006,"prop_age_1.2","0.751","PIT/SPA",0.883333333333333,"Deadpitch"
"238",2006,"prop_age_1.3","0.073","PIT/SPA",0.10952380952381,"Deadpitch"
"239",2006,"prop_age_2.1","0.023","PIT/SPA",0,"Deadpitch"
"240",2006,"prop_age_2.2","0.134","PIT/SPA",0.00476190476190476,"Deadpitch"
"241",2006,"prop_age_2.3","0","PIT/SPA",NA,NA
"242",2006,"prop_age_3.1","0.012","PIT/SPA",NA,NA
"243",2006,"prop_age_3.2",NA,"PIT/SPA",NA,NA
"244",2006,"prop_age_3.3",NA,"PIT/SPA",NA,NA
"245",2006,"prop_age_4.1",NA,"PIT/SPA",NA,NA
"246",2007,"prop_age_1.1","0.423713754110037","PIT/SPA",0.24702380952381,"Deadpitch"
"247",2007,"prop_age_1.2","0.382075201986249","PIT/SPA",0.523809523809524,"Deadpitch"
"248",2007,"prop_age_1.3","0.0318399664191541","PIT/SPA",0.142857142857143,"Deadpitch"
"249",2007,"prop_age_2.1","0.0583075155291449","PIT/SPA",0.0744047619047619,"Deadpitch"
"250",2007,"prop_age_2.2","0.0929229274077147","PIT/SPA",0.00892857142857143,"Deadpitch"
"251",2007,"prop_age_2.3","0.0111406345477002","PIT/SPA",NA,NA
"252",2007,"prop_age_3.1",NA,"PIT/SPA",NA,NA
"253",2007,"prop_age_3.2",NA,"PIT/SPA",NA,NA
"254",2007,"prop_age_3.3",NA,"PIT/SPA",NA,NA
"255",2007,"prop_age_4.1",NA,"PIT/SPA",NA,NA
"256",2008,"prop_age_1.1","0.074","PIT/SPA",0.0360169491525424,"Deadpitch"
"257",2008,"prop_age_1.2","0.864","PIT/SPA",0.949152542372881,"Deadpitch"
"258",2008,"prop_age_1.3","0.007","PIT/SPA",0.0105932203389831,"Deadpitch"
"259",2008,"prop_age_2.1","0.023","PIT/SPA",0,"Deadpitch"
"260",2008,"prop_age_2.2","0.032","PIT/SPA",0.00423728813559322,"Deadpitch"
"261",2008,"prop_age_2.3",NA,"PIT/SPA",NA,NA
"262",2008,"prop_age_3.1",NA,"PIT/SPA",NA,NA
"263",2008,"prop_age_3.2",NA,"PIT/SPA",NA,NA
"264",2008,"prop_age_3.3",NA,"PIT/SPA",NA,NA
"265",2008,"prop_age_4.1",NA,"PIT/SPA",NA,NA
"266",2009,"prop_age_1.1","0.12509579576968","PIT/SPA",0.0239520958083832,"Deadpitch"
"267",2009,"prop_age_1.2","0.791751375619347","PIT/SPA",0.877245508982036,"Deadpitch"
"268",2009,"prop_age_1.3","0.0263296424024657","PIT/SPA",0.0598802395209581,"Deadpitch"
"269",2009,"prop_age_2.1","0.01","PIT/SPA",0,"Deadpitch"
"270",2009,"prop_age_2.2","0.046","PIT/SPA",0.0389221556886228,"Deadpitch"
"271",2009,"prop_age_2.3","0.001","PIT/SPA",NA,NA
"272",2009,"prop_age_3.1",NA,"PIT/SPA",NA,NA
"273",2009,"prop_age_3.2",NA,"PIT/SPA",NA,NA
"274",2009,"prop_age_3.3",NA,"PIT/SPA",NA,NA
"275",2009,"prop_age_4.1",NA,"PIT/SPA",NA,NA
"276",2010,"prop_age_1.1","0.02","PIT/SPA",0.00657894736842105,"Deadpitch"
"277",2010,"prop_age_1.2","0.952","PIT/SPA",0.891447368421053,"Deadpitch"
"278",2010,"prop_age_1.3","0.00514552818087011","PIT/SPA",0.0690789473684211,"Deadpitch"
"279",2010,"prop_age_2.1","0.00630066907824839","PIT/SPA",0.0263157894736842,"Deadpitch"
"280",2010,"prop_age_2.2","0.017","PIT/SPA",0.00657894736842105,"Deadpitch"
"281",2010,"prop_age_2.3",NA,"PIT/SPA",NA,NA
"282",2010,"prop_age_3.1",NA,"PIT/SPA",NA,NA
"283",2010,"prop_age_3.2",NA,"PIT/SPA",NA,NA
"284",2010,"prop_age_3.3",NA,"PIT/SPA",NA,NA
"285",2010,"prop_age_4.1",NA,"PIT/SPA",NA,NA
"286",2011,"prop_age_1.1","0.261263752493429","PIT/SPA",0.123287671232877,"Deadpitch"
"287",2011,"prop_age_1.2","0.591579012543768","PIT/SPA",0.808219178082192,"Deadpitch"
"288",2011,"prop_age_1.3","0.0773415159211933","PIT/SPA",0.0616438356164384,"Deadpitch"
"289",2011,"prop_age_2.1","0.0307233872575653","PIT/SPA",0.00684931506849315,"Deadpitch"
"290",2011,"prop_age_2.2","0.037032152713193","PIT/SPA",0,"Deadpitch"
"291",2011,"prop_age_2.3","0.00206017907085137","PIT/SPA",NA,NA
"292",2011,"prop_age_3.1",NA,"PIT/SPA",NA,NA
"293",2011,"prop_age_3.2",NA,"PIT/SPA",NA,NA
"294",2011,"prop_age_3.3",NA,"PIT/SPA",NA,NA
"295",2011,"prop_age_4.1",NA,"PIT/SPA",NA,NA
"296",2012,"prop_age_1.1","0.0167119858510496","PIT/SPA",0.00257731958762887,"Deadpitch"
"297",2012,"prop_age_1.2","0.959703840573946","PIT/SPA",0.97680412371134,"Deadpitch"
"298",2012,"prop_age_1.3","0.0167774956570993","PIT/SPA",0.0103092783505155,"Deadpitch"
"299",2012,"prop_age_2.1","0.00122447918563716","PIT/SPA",0.0077319587628866,"Deadpitch"
"300",2012,"prop_age_2.2","0.00558219873226797","PIT/SPA",0.00257731958762887,"Deadpitch"
"301",2012,"prop_age_2.3","0","PIT/SPA",NA,NA
"302",2012,"prop_age_3.1",NA,"PIT/SPA",NA,NA
"303",2012,"prop_age_3.2",NA,"PIT/SPA",NA,NA
"304",2012,"prop_age_3.3",NA,"PIT/SPA",NA,NA
"305",2012,"prop_age_4.1",NA,"PIT/SPA",NA,NA
"306",2013,"prop_age_1.1","0.243","PIT/SPA",0.181818181818182,"Deadpitch"
"307",2013,"prop_age_1.2","0.616","PIT/SPA",0.658008658008658,"Deadpitch"
"308",2013,"prop_age_1.3","0.087","PIT/SPA",0.0303030303030303,"Deadpitch"
"309",2013,"prop_age_2.1",NA,"PIT/SPA",0.0303030303030303,"Deadpitch"
"310",2013,"prop_age_2.2","0.054","PIT/SPA",0.0995670995670996,"Deadpitch"
"311",2013,"prop_age_2.3",NA,"PIT/SPA",NA,NA
